
9210988231,Maria,4/20/24,False,Long,45.0,Classic,30.0,Anti-age,125.0,Chinese,55.0,True,5.0,230.14

1234567,Anna,4/17/24,False,Long,35.0,,0,,0,,0,False,0,35.0

789456,Maria,4/19/24,False,Long,45.0,,0,,0,,0,False,0,45.0

456789,Maria,4/18/24,False,,0,French,45.0,,0,,0,True,0,42.75

789654,Kris,4/19/24,False,,0,,0,,0,Full body,85.0,True,0,80.75

123456,Trinity,4/22/24,False,Long,45.0,,0,,0,Spa with body wrap,85.0,False,0,130.0

456852,Ruth,4/26/24,False,,0,Classic,30.0,,0,,0,True,0,28.5

4521369,Foram,4/30/24,False,,0,,0,R-lifting,148.0,,0,True,0,140.6

4578521,Fgtre,4/23/24,False,,0,,0,Peeling,85.0,,0,True,5.0,76.71

123456,Fgreds,4/19/24,False,Short,30.0,,0,,0,,0,True,10.0,25.65

456456456,QWEWWW,4/19/24,False,Middle,30.0,,0,Anti-age,150.0,,0,True,0,171.0
